sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship	fulfillment-channel
A0175/B0175				116		
A0176				111		
A0176/B0176				111		
A0177				136		
A0177/B0176				111		
A0178				316		
A0178/B0178				174		
A0178/B0179				147		
A0182				170		
A0182/B0182				115		
A0183				280		
A0183/B0183				280		
A0183/B0183/C0183				121		
A0183/B0183/C0183/D0183				120		
A0183/B0183/C0183/E0183				121		
A0183/B0183/C0184				163		
A0183/B0183/C0184/D0183				120		
A0183/B0183/C0184/E0183				122		
A0183/B0183/C0185				105		
A0183/B0183/C0185/E0185				105		
A0183/B0183/C0186				219		
A0183/B0183/C0186/E0185				139		
A0183/B0183/D0183				120		
A0183/B0183/E0183				122		
A0183/B0183/E0185				139		
A0187				81		
A0187/B0187				81		
A0187/B0187/D0187				81		
A0189				78		
A0189/B0189				78		
A0189/B0189/D0189				78		
A0190				87		
A0190/B0190				87		
A0191				479		
A0191/B0191				479		
A0191/B0191/C0191				232		
A0191/B0191/C0191/D0191				232		
A0191/B0191/D0191				271		
A0191/B0191/D0209				112		
A0192				154		
A0192/B0192				154		
A0192/B0192/D0192				154		
A0194				275		
A0194/B0194				258		
A0194/B0194/D0139				111		
A0194/B0194/D0194				67		
A0194/B0236				243		
A0194/B0236/D0236				186		
A0196				124		
A0196/B0196				111		
A0196/B0196/D0196				111		
A0198				218		
A0198/B0198				218		
A0198/B0198/D0198				144		
A0200				670		
A0200/B0200				668		
A0200/B0200/C0200				396		
A0200/B0200/C0200/D0200				351		
A0200/B0200/C0200/E0200				396		
A0200/B0200/C0219				133		
A0200/B0200/C0219/D0200				133		
A0200/B0200/C0219/E0200				133		
A0200/B0200/D0200				351		
A0200/B0200/E0200				431		
A0203				183		
A0203/B0203				183		
A0203/B0203/D0203				183		
A0203/B0203/E0203				145		
A0203/B0239				183		
A0203/B0239/C0239				183		
A0203/B0239/C0239/D0203				183		
A0203/B0239/C0239/E0203				145		
A0203/B0239/D0203				183		
A0203/B0239/E0203				145		
A0204				172		
A0204/B0102				52		
A0204/B0102/D0204				42		
A0206				282		
A0206/B0206				282		
A0206/B0206/D0206				118		
A0207				390		
A0207/B0207				390		
A0207/B0211				390		
A0212				861		
A0212/B0188				750		
A0212/B0199				124		
A0213				126		
A0213/B0046				126		
A0213/B0046/D0046				126		
A0213/B0046/D0181				126		
