sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
A0222/B0222/D0222-FBA	B071HF7BZ6	B071HF7BZ6	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner Behind Second Row Lexus RX (2016-2017) (Black)	New	233.97	No		Yes	5	3	0	2	7	5.27	0	2	0
A0223	B01MZ0POD0	B01MZ0POD0	MAXFLOORMAT Floor Mats for Volvo XC90 (2016-2017) First Row Set (Black)	New	85.49	Yes	197	No	2	2	0	0	2	2.17	0	0	0
A0223-FBA	B01MZ0POD0	B01MZ0POD0	MAXFLOORMAT Floor Mats for Volvo XC90 (2016-2017) First Row Set (Black)	New	85.49	No		Yes	2	2	0	0	2	2.17	0	0	0
A0223/B0223-FBA	B01N5GBVI1	B01N5GBVI1	MAXFLOORMAT Floor Mats for Volvo XC90 (2016-2017) 2 Row Set (Black)	New	143.98	No		Yes	6	6	0	0	6	1.97	0	0	0
A0223/B0223/C0223-FBA	B01MRYCPAW	B01MRYCPAW	MAXFLOORMAT Floor Mats for Volvo XC90 (2016-2017) 3 Row Set (Black)	New	188.97	No		Yes	3	3	0	0	3	2.97	0	0	0
A0223/B0223/C0223/D0223-FBA	B01N6HT0XM	B01N6HT0XM	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner Behind Second Row Volvo XC90 (2016-2017) (Black)	New	278.96	No		Yes	3	3	0	0	3	5.42	0	0	0
A0223/B0223/C0223/E0223-FBA	B01N1T9CQ0	B01N1T9CQ0	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner Behind Third Row Volvo XC90 (2016-2017) (Black)	New	260.96	No		Yes	3	3	0	0	3	5.2	0	0	0
A0223/B0223/D0223-FBA	B01MXZ5T3R	B01MXZ5T3R	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner Behind Second Row Volvo XC90 (2016-2017) (Black)	New	233.97	No		Yes	0	0	0	0	0	5.27	0	0	0
A0223/B0223/E0223-FBA	B01MT00F6V	B01MT00F6V	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner Behind Third Row Volvo XC90 (2016-2017) (Black)	New	215.97	No		Yes	2	2	0	0	2	5.5	0	0	0
A0224-FBA	X001JIZPPX	B074R4ZLK1	MAXFLOORMAT Floor Mats for Honda Civic Sedan and Hatchback (2016-2017) (Black)	New	85.49	No		Yes	0	0	0	0	6	2.17	0	0	6
A0224/B0224-FBA	X001JJ7MKN	B074R25VJW	MAXFLOORMAT Floor Mats for Honda Civic Sedan (2016-2017) (Black)	New	143.98	No		Yes	1	0	0	1	41	2.91	0	36	4
A0224/B0224/D0224-FBA	X001JJ7SD9	B074R76C52	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Honda Civic Sedan (2016-2017) (Black)	New	224.97	No		Yes	0	0	0	0	16	5.41	0	10	6
A0225/B0225-FBA	B06ZZWHT77	B06ZZWHT77	MAXFLOORMAT Floor Mats for Buick Envision (2016-2017) 2 Row Set (Black)	New	143.98	No		Yes	6	6	0	0	6	2.06	0	0	0
A0225/B0225/D0225-FBA	B071XSZQW7	B071XSZQW7	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner for Buick Envision (2016-2017) (Black)	New	224.97	No		Yes	7	7	0	0	13	5.17	0	0	6
A0226-FBA	B06XDF72XV	B06XDF72XV	MAXFLOORMAT Floor Mats One Piece for Silverado / Sierra (2014-2017) First Row Set Black	New	98.99	No		Yes	10	10	0	0	14	3.21	0	4	0
A0226/B0136-FBA	B06XDFGHNC	B06XDFGHNC	MAXFLOORMAT Floor Mats with One Piece Front Row for Silverado / Sierra Crew Cab (2014-2017) 2 Row Set (Black)	New	166.48	No		Yes	16	16	0	0	16	2.91	0	0	0
A0226/B01360-FBA	B06XDFGHNC	B06XDFGHNC	MAXFLOORMAT Floor Mats with One Piece Front Row for Silverado / Sierra Crew Cab (2014-2017) 2 Row Set (Black)	Unknown					16	16	0	0	16	-0	0	0	0
A0226/B0148-FBA	B06XD2WFJL	B06XD2WFJL	MAXFLOORMAT Floor Mats with One Piece Front Row for Silverado / Sierra Double Cab Extended (2014-2017) 2 Row Set (Black)	New	166.48	No		Yes	8	8	0	0	23	3.49	0	15	0
A0230/B0230-FBA	B071KZYTMC	B071KZYTMC	MAXFLOORMAT Floor Mats (3 Row Set) for 2017 GMC Acadia with Second Row Bucket Seats (Black)	New	161.98	No		Yes	14	12	1	1	14	3.51	0	0	0
A0230/B0230/D0230-FBA	B071KZYTDK	B071KZYTDK	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner Behind Second Row for 2017 GMC Acadia Bucket Seats (Black)	New	242.97	No		Yes	3	3	0	0	3	5.23	0	0	0
A0230/B0230/E0230-FBA	B071YSVQ88	B071YSVQ88	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner Behind Third Row for 2017 GMC Acadia Bucket Seats (Black)	New	233.97	No		Yes	2	2	0	0	6	5.43	0	4	0
A0230/B0248-FBA	B072L7JLVJ	B072L7JLVJ	MAXFLOORMAT Floor Mats (2 Row Set) for 2017 GMC Acadia with Second Row Bench Seats (Black)	New	143.98	No		Yes	8	8	0	0	8	3.19	0	0	0
A0230/B0248/C0248-FBA	B0728NZ5K6	B0728NZ5K6	MAXLINER A0230/B0248/C0248 Black Floor Mat 3 Row Set (for 2017 GMC Acadia with Second Row Bench Seats), 1 Pack	New	188.97	No		Yes	8	8	0	0	8	3.37	0	0	0
A0230/B0248/C0248/D0230-FBA	B072PY27QZ	B072PY27QZ	MAXLINER A0230/B0248/C0248/D0230 Black Floor Mat 3 Row Set and Cargo Liner Behind Second Row (for 2017 GMC Acadia Bench Seats), 1 Pack	New	269.96	No		Yes	7	7	0	0	7	5.96	0	0	0
A0230/B0248/C0248/E0230-FBA	B072C8T981	B072C8T981	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner Behind Third Row for 2017 GMC Acadia Bench Seats (Black)	New	260.96	No		Yes	6	6	0	0	6	5.19	0	0	0
A0230/B0248/D0230-FBA	B071KZYNN1	B071KZYNN1	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner Behind Second Row for 2017 GMC Acadia Bench Seats (Black)	New	224.97	No		Yes	8	8	0	0	8	5.49	0	0	0
A0230/B0248/E0230-FBA	B0727VN71G	B0727VN71G	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner Behind Third Row for 2017 GMC Acadia Bench Seats (Black)	New	215.97	No		Yes	3	3	0	0	3	4.21	0	0	0
A0231-FBA	B06XD9T8SY	B06XD9T8SY	MAXFLOORMAT Floor Mats One Piece for Dodge RAM Crew Cab (2012-2017) First Row Set (Black)	New	98.99	No		Yes	4	0	0	4	12	2.81	0	8	0
